 LIGHT LAGER
 PILSNER
 EUROPEAN AMBER LAGER
 DARK LAGER
 BOCK
 LIGHT HYBRID BEER
 AMBER HYBRID BEER
 ENGLISH PALE ALE
 SCOTTISH AND IRISH ALE
 AMERICAN ALE
 ENGLISH BROWN ALE
 PORTER
 STOUT
 INDIA PALE ALE (IPA)
 GERMAN WHEAT AND RYE BEER
 BELGIAN AND FRENCH ALE
 SOUR ALE
 BELGIAN STRONG ALE
 STRONG ALE
 FRUIT BEER
 SPICE / HERB / VEGETABLE BEER
 SMOKE-FLAVORED AND WOOD-AGED BEER
 SPECIALTY BEER
