Ordinary Bitter 
Special Bitter or Best Bitter 
Extra Special Bitter 
Scottish-Style Light Ale 
Scottish-Style Heavy Ale 
Scottish-Style Export Ale 
English-Style Summer Ale 
Classic English-Style Pale Ale 
English-Style India Pale Ale 
Strong Ale 
Old Ale 
English-Style Pale Mild Ale 
English-Style Dark Mild Ale 
English-Style Brown Ale 
Brown Porter 
Robust Porter 
Sweet Stout or Cream Stout 
Oatmeal Stout 
Scotch Ale 
British-Style Imperial Stout 
British-Style Barley Wine Ale 
Irish-Style Red Ale 
Classic Irish-Style Dry Stout 
Foreign (Export)-Style Stout 
Golden or Blonde Ale
American-Style Amber/Red Ale 
American-Style Pale Ale 
American-Style Strong Pale Ale 
American-Style India Pale Ale 
Pale American-Belgo-Style Ale 
Dark American-Belgo-Style Ale 
American-Style Brown Ale 
American-Style Black Ale 
American-Style Stout 
American-Style Imperial Stout 
American-Style Imperial Porter 
Imperial or Double India Pale Ale 
Imperial or Double Red Ale 
American-Style Barley Wine Ale 
American-Style Wheat Wine Ale 
Smoke Porter
American-Style Brett Beer 
American-Style Sour Ale 
German-Style Kölsch/Köln-Style Kölsch 
German-Style Altbier 
Kellerbier (Cellar beer) or Zwickelbier - Ale 
Berliner-Style Weisse (Wheat) 
Leipzig-Style Gose 
South German-Style Hefeweizen/Hefeweissbier 
South German-Style Kristal Weizen/Kristal Weissbier 
German-Style Leichtes Weizen/Weissbier 
South German-Style Bernsteinfarbenes Weizen/Weissbier 
South German-Style Dunkel Weizen/Dunkel Weissbier 
South German-Style Weizenbock/Weissbock 
Bamberg-Style Weiss Rauchbier (smoked Helles or Dunkel) 
Belgian-Style Blonde Ale 
Belgian-Style Pale Ale 
Belgian-Style Pale Strong Ale 
Belgian-Style Dark Strong Ale 
Belgian-Style Dubbel 
Belgian-Style Tripel 
Belgian-Style Quadrupel 
French-Style Bière de Garde 
French & Belgian-Style Saison 
Belgian-Style Flanders Oud Bruin or Oud Red Ale 
Belgian-Style White (or Wit)/Belgian-Style Wheat 
Belgian-Style Lambic 
Belgian-Style Gueuze Lambic 
Belgian-Style Fruit Lambic 
Other Belgian-Style Ale 
Belgian-Style Table Beer 
Grodziskie 
Adambier 
"Dutch-Style Kuit (Kuyt, Koyt) "
Australian-Style Pale Ale 
International-Style Pale Ale 
German-Style Pilsener 
Bohemian-Style Pilsener 
Münchner (Munich)-Style Helles 
Dortmunder/European-Style Export 
Vienna-Style Lager 
German-Style Märzen 
German-Style Oktoberfest/Wiesn 
European-Style Dark/Münchner Dunkel
German-Style Schwarzbier 
European Low-Alcohol Lager/German Leicht(bier) 
Bamberg-Style Helles Rauchbier 
Bamberg-Style Märzen Rauchbier 
Bamberg-Style Bock Rauchbier 
German-Style Heller Bock/Maibock 
Traditional German-Style Bock 
German-Style Doppelbock 
German-Style Eisbock 
Kellerbier (Cellar beer) or Zwickelbier - Lager 
American-Style Lager 
American-Style Light (Low Calorie) & Low Carbohydrate Lager 
American-Style Amber (Low Calorie) Lager 
American-Style Pilsener 
American-Style Ice Lager 
American-Style Malt Liquor 
American-Style Amber Lager 
American-Style Märzen/Oktoberfest 
American-Style Dark Lager 
Baltic-Style Porter 
"Australasian, Latin American or Tropical-Style Light Lager "
International-Style Pilsener 
Session Beer 
American-Style Cream Ale 
California Common Beer 
Light American Wheat Beer with Yeast 
Light American Wheat Beer without Yeast 
Dark American Wheat Beer with Yeast 
Dark American Wheat Beer without Yeast 
American-Style Fruit Beer 
Fruit Wheat Beer with or without Yeast 
Belgian-Style Fruit Beer 
Field Beer 
Pumpkin Beer 
Chocolate/Cocoa-Flavored Beer 
Coffee-Flavored Beer
Herb and Spice Beer 
Specialty Beer 
Specialty Honey Beer 
Rye Beer with or without Yeast 
German-Style Rye Ale (Roggenbier) with or without Yeast 
Japanese Sake-Yeast Beer 
Fresh or Wet Hop Beer 
Wood- and Barrel-Aged Beer 
Wood- and Barrel-Aged Pale to Amber Beer 
Wood- and Barrel-Aged Dark Beer 
Wood- and Barrel-Aged Strong Beer 
Wood- and Barrel-Aged Sour Beer 
Aged Beer 
Experimental Beer 
Indigenous/Regional Beer 
Historical Beer 
Wild Beer 
Smoke Beer 
Other Strong Ale or Lager 
Gluten-Free Beer 
Non-Alcoholic (Beer) Malt Beverage 
